# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 05 14:02:13 CST 2020 [seed=1580932932813]
# pop_size_faster.xml
# keywords: skyride discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyride.precision	skyride.logPopSize1	skyride.logPopSize2	skyride.logPopSize3	skyride.logPopSize4	skyride.logPopSize5	skyride.logPopSize6	skyride.logPopSize7	skyride.logPopSize8	skyride.logPopSize9	skyride.logPopSize10	skyride.logPopSize11	skyride.logPopSize12	skyride.logPopSize13	skyride.logPopSize14	skyride.logPopSize15	skyride.logPopSize16	skyride.logPopSize17	skyride.logPopSize18	skyride.logPopSize19	skyride.logPopSize20	skyride.logPopSize21	skyride.logPopSize22	skyride.logPopSize23	skyride.logPopSize24	skyride.logPopSize25	skyride.logPopSize26	skyride.logPopSize27	skyride.logPopSize28	skyride.logPopSize29	skyride.logPopSize30	skyride.logPopSize31	skyride.logPopSize32	skyride.logPopSize33	skyride.logPopSize34	skyride.logPopSize35	skyride.logPopSize36	skyride.logPopSize37	skyride.logPopSize38	skyride.logPopSize39	skyride.logPopSize40	skyride.logPopSize41	skyride.logPopSize42	skyride.logPopSize43	skyride.logPopSize44	skyride.logPopSize45	skyride.logPopSize46	skyride.logPopSize47	skyride.logPopSize48	skyride.logPopSize49	skyride.logPopSize50	skyride.logPopSize51	skyride.logPopSize52	skyride.logPopSize53	skyride.groupSize1	skyride.groupSize2	skyride.groupSize3	skyride.groupSize4	skyride.groupSize5	skyride.groupSize6	skyride.groupSize7	skyride.groupSize8	skyride.groupSize9	skyride.groupSize10	skyride.groupSize11	skyride.groupSize12	skyride.groupSize13	skyride.groupSize14	skyride.groupSize15	skyride.groupSize16	skyride.groupSize17	skyride.groupSize18	skyride.groupSize19	skyride.groupSize20	skyride.groupSize21	skyride.groupSize22	skyride.groupSize23	skyride.groupSize24	skyride.groupSize25	skyride.groupSize26	skyride.groupSize27	skyride.groupSize28	skyride.groupSize29	skyride.groupSize30	skyride.groupSize31	skyride.groupSize32	skyride.groupSize33	skyride.groupSize34	skyride.groupSize35	skyride.groupSize36	skyride.groupSize37	skyride.groupSize38	skyride.groupSize39	skyride.groupSize40	skyride.groupSize41	skyride.groupSize42	skyride.groupSize43	skyride.groupSize44	skyride.groupSize45	skyride.groupSize46	skyride.groupSize47	skyride.groupSize48	skyride.groupSize49	skyride.groupSize50	skyride.groupSize51	skyride.groupSize52	skyride.groupSize53	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyride
0	-119249.53780878731	-2808.1070816126917	-116441.43072717462	79.48948647912142	1885.5105135208785	628.3521307384716	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0246048014752285	0.35559202365135406	0.08345785539092772	-116441.43072717462	-494.32454397587907	-1676.7849595443445
10000	-55171.98456437095	-1124.04833310087	-54047.936231270076	42.15136022342336	1922.8486397765766	673.9715340762924	0.09564268430060623	4.763591195899319	5.890253462072527	5.403269480832431	5.189022036591984	5.435484290551785	5.561190054085258	5.677491254734079	5.710839967951796	5.566818645337712	5.10759595170961	4.694752841372599	4.734006985765642	4.787617444241425	5.251237612151602	5.123306840614869	5.140482355246205	5.276837156445492	5.406046274772117	5.3651229398280895	5.694553852178822	5.823674367372204	6.366164251325913	6.07303854260922	5.7697665619988925	5.66371587272922	5.539142337377628	5.4777570959300474	5.385954680774795	5.0232744348119	4.938085174779639	4.714591104651672	4.9533947327553705	4.463574902035693	4.50179156834313	4.3956733554197	4.135849765255873	4.109172180937569	4.053954239895802	4.306747574108432	4.504686553453444	5.224546217374316	5.023350585034266	4.445512608892738	4.430654939479162	3.5149654605717715	3.7896533627577242	3.776925612209708	3.300435356836353	3.0912470013238833	2.2995870434072585	1.6106369329141381	1.1834704447233526	0.5299916333475785	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0094948789694311	1.0465320481060443	0.9835537013937397	0.9788329065935075	0.9826185113920561	0.9989679535452215	0.3228297966994052	0.19282125950421375	0.23520846159222547	0.24914048220415544	2.75059861089868	0.2529187808260831	5.680506578303045	0.32454368310507387	3.96826489999711	-0.03853938066340634	-54047.936231270076	-494.32454397587907	-433.14364640296753
20000	-49357.33800031644	-1034.3780923096344	-48322.95990800681	36.94441157348939	1928.0555884265107	530.7913292879422	0.014820355326984756	2.8257255149363725	2.815139619497548	4.747428039809491	4.931740538181539	4.870764157175567	5.238826198631567	5.182154643180508	4.888701215117803	4.950643486870683	4.691383203422634	4.123856526598954	3.9848541275661598	3.860587275281548	4.268032144179635	5.1120194325135495	4.434048429431642	4.52345766106654	4.411797093262464	4.41666857390772	4.424323424050553	3.9004519238085615	4.527106933770226	5.26749703780146	4.855129899629583	5.072570383076755	5.003399239562048	4.187279898289326	4.685200920388561	4.94044427370439	5.7105030090556514	6.740249734704705	5.208332940719506	4.307639312848395	4.64399283389575	4.084053456605032	4.381289947240314	4.9816460559860705	3.9561755710970807	3.3616988793793214	3.2916603918517655	5.242681236273173	3.4507924757584205	3.089280551800419	3.2206943152210536	3.1230338046120236	3.0233675735182812	2.689724382521004	1.230854897996653	5.06324896260861	3.197913354716528	2.917768710465129	2.0783424553072622	0.28745204480834774	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0431384544177233	1.0690964723517624	0.9856158610448739	0.9346034649936584	1.0029290187447195	0.9646167284472625	0.34170545504070565	0.179686125097764	0.23971967712231518	0.23888874273921512	4.242697747265856	0.121570097876349	1.8371911563669414	0.18200766797421597	3.3474745493205145	-0.005250910516700677	-48322.95990800681	-494.32454397587907	-460.0605715145559
30000	-49110.02627582959	-949.3735098401137	-48160.65276598947	34.21723996797043	1930.7827600320295	493.14182302954987	0.42821891215942404	5.194216822804011	4.764114031488756	5.290194298231504	4.524065146653905	4.665029801754816	4.6957445359114365	4.597939605594694	4.505948065302854	4.5905185226492895	4.6687732526742565	4.726618767589111	4.5827963126807045	4.753307385126913	4.766260715793279	4.605493509773921	4.478458340033788	4.547798465796808	4.583004356793062	4.3582186858629175	4.393321084894661	4.334501693469304	4.270212418441504	4.303749337703623	4.423103410246386	4.264146795180882	4.137642354686588	4.424151257975375	4.376377854075392	4.342017258611509	4.5231539003885315	4.731769731352948	4.668299752669094	4.593700763689654	4.437849231784682	4.268121176875967	4.830746534095002	4.270832650849367	4.320648438005126	4.143273373992824	4.001167368013599	3.931613033602363	3.9173164812745775	3.8020129282640722	3.649595437294633	3.2327883008086435	3.5046157400699496	3.3567976017308934	3.310517699861881	3.5810975038692896	3.2773640925949596	2.4487806855174266	2.1373950048675048	2.1166607216526683	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0208484141964889	1.0904365426224836	0.9589501417801545	0.9501543888514238	1.0237296557262054	0.9558808568232445	0.34999039271666577	0.17605532836891433	0.2368324323349061	0.23712184657951382	2.148430873777763	0.1101693538386454	1.567852851452262	0.3344611388792302	3.0914143162343293	-0.010481244005848319	-48160.65276598947	-494.32454397587907	-386.9035429097894
40000	-49063.04466616268	-923.350210115884	-48139.6944560468	31.95729824692475	1933.0427017530753	474.49903876928585	0.7942723759654753	5.227572373446047	5.08153693320648	4.6120419982620255	4.539893686772874	4.779060692025158	4.350044623748957	4.4316820839845805	4.390458258659976	4.487049885838534	4.48387786302534	4.399351232560874	4.416752967526716	4.377165819533099	4.464174665074886	4.490523321473973	4.4401735600089465	4.454424570691255	4.417221660872717	4.393965760723478	4.484738614842784	4.485651309598754	4.326770242873466	4.339687246748123	4.351094503238514	4.376269925069483	4.409402656850521	4.364387902323614	4.272274609756213	4.26936469130917	4.362298083179088	4.3685525799933185	4.477604033763371	4.4146975085942515	4.1299885516986885	4.096223445510384	4.079847838388131	4.354876205662695	4.498347486942343	4.503361328966343	4.482232972246298	4.330420284683724	4.401371747274985	4.287584285681547	4.005242954547367	3.57995612600483	3.0502478712567123	2.885583744941572	2.890614953332081	2.729799493072011	2.434140165106686	2.662466075557936	2.5585031510701657	2.6144630629709806	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.023427567851196	1.1437484943027603	0.9364363936881739	0.9116564709297752	1.0490376462530357	0.9356934269750595	0.34521074561148796	0.18321080421743796	0.23663417553404328	0.234944274637031	2.5444063518875377	0.1009187447418272	1.295330591687109	0.24689024052106565	2.8898981701023048	-0.01930888953571698	-48139.6944560468	-494.32454397587907	-366.7561703952692
50000	-46675.33344187166	-933.4028909200227	-45741.93055095164	34.151494400913954	1930.8485055990861	497.82468919614706	0.29255171755873177	5.091920040244797	5.08946810331498	5.200383805322266	5.316278859088017	5.152299069942547	5.046317309680335	5.048648352016278	5.091064933270588	5.252847128622073	5.361013102726773	5.303813769947345	5.265373525683987	5.23278590015449	5.356322114388734	5.190294099813024	5.114129445478174	5.20967601080957	5.137455983011291	5.108383419262818	5.1364139251677186	5.041822959626557	4.809639298821891	4.605055998203232	4.627766079979898	4.59665873609005	4.540447094768854	4.5885562658614205	4.72358887195061	4.568055702796822	4.55827662759151	4.657555088443506	4.839266573824052	4.646738619935755	4.513183691848506	4.749182192439244	4.898363163223614	4.618503107142035	4.636764395733687	4.3878081209957065	4.075800911267081	3.9509579801666885	3.801970312509091	3.8246656911573154	4.234158329193117	4.082660271370579	4.462470788512977	4.165653796026124	3.2445325251313157	3.0881177475015877	2.995970325297751	2.630116203345655	2.606169465238543	2.3178983856126703	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9949506321485011	1.211036822251874	0.9213266167583538	0.921382662544833	1.0743320819028617	0.8769711843935775	0.3423176839482388	0.1814895487654645	0.2366569530830368	0.23953581420326006	2.4564179016680296	0.07835289234732815	0.7901099347425947	0.29977882816165224	2.9079171104461117	-0.004766680039389028	-45741.93055095164	-494.32454397587907	-388.5291616790914
60000	-46578.50544812097	-961.8713195178943	-45616.63412860308	28.70633790276461	1936.2936620972355	453.11471633873003	0.06775227455233833	5.026037422441549	5.4546186014570885	4.7391908170818295	5.521087115326884	3.735057358696093	4.832512108058054	4.542980776801153	4.7959525424265985	4.750236480317022	4.839671054975694	5.081638513191849	5.155099723055502	4.77644398919472	4.793509541828926	5.371986923423137	5.451394616207149	5.462709388086308	5.435851918652299	5.053668848581677	4.852440772983861	4.965376293544322	4.915617739044677	5.088489514189997	4.818647666602766	4.48242492870362	4.480451742856914	4.036169588800959	4.115257994048186	4.010329346849445	4.084442156873243	4.294797050388099	4.430089653125064	4.897423583306783	4.571189110245429	5.150822104033258	5.8191948250254715	6.222275467879706	5.927288078764964	4.892930065389741	4.684858637157269	4.278570085177444	3.629716167973296	3.83674289424571	3.952924575834596	3.6560836256571636	3.12504649174323	2.9895748175840486	2.2141647349908107	2.0296909772170535	1.5047152025200727	1.2261965080151094	1.8143193097302532	1.0574989658771639	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9435242254929596	1.227782683612566	0.8599018827045892	0.9239124055966935	1.099620350135625	0.945258452457568	0.3431641745603444	0.17707471161871546	0.23996519773850436	0.23979591608243575	3.2982716875909635	0.07660023817096406	0.7465278187441365	0.33389804161216485	2.7420658835450578	0.10334982083230504	-45616.63412860308	-494.32454397587907	-421.1677436119608
70000	-46577.541559913225	-981.5470409325599	-45595.99451898067	28.157898615063353	1936.8421013849365	443.17463113960747	0.02173780934144703	7.8934380799426505	5.676737643314857	6.147806139188243	6.657576416142768	4.422821392507756	4.794357201119267	4.860642871225199	4.87068966919249	5.225531006211904	3.855992945148045	4.182466971938544	4.017271402228691	4.022195080361174	5.324859493880859	4.871989268672921	5.746279342262029	5.891854140132414	4.560058849995849	4.997710678342268	4.957563592403508	4.401866686013905	4.697100935427657	4.0205936309913	4.331474499851041	4.004651875326968	4.845381767087193	4.621034227337083	3.9445118990932597	3.704096934182165	3.4427447114824052	3.4426402823196955	3.6165578877615134	3.3907486748744797	3.732018955471339	5.398018009668206	4.8173998147397805	4.911120511464045	5.037970650084792	5.329421833520339	4.253279480760272	3.145939803224184	2.7678286377153447	2.2421845640648193	1.7182586135673907	4.350586983912301	4.221408705450476	2.973570248669381	3.2515559873711397	1.7408423855473492	1.1629190147967998	1.535366020476229	2.9837683481534194	-2.6896544535305047	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9396729225745418	1.2393859320639113	0.8416535652751058	0.9148068737550681	1.1600005067354695	0.9044801995959046	0.3495645129441987	0.17737698003190655	0.23802837908066665	0.23503012794322808	4.081284507251806	0.06485738123125172	0.685141365556129	0.2794345471314486	2.7318165543419632	0.14673528249880705	-45595.99451898067	-494.32454397587907	-446.63497607690033
80000	-46560.76615010011	-990.4691526056199	-45570.29699749449	27.865641544707152	1937.1343584552928	434.1424842691827	0.02173780934144703	7.8934380799426505	5.676737643314857	6.147806139188243	6.657576416142768	4.422821392507756	4.794357201119267	4.860642871225199	4.87068966919249	5.225531006211904	3.855992945148045	4.182466971938544	4.017271402228691	4.022195080361174	5.324859493880859	4.871989268672921	5.746279342262029	5.891854140132414	4.560058849995849	4.997710678342268	4.957563592403508	4.401866686013905	4.697100935427657	4.0205936309913	4.331474499851041	4.004651875326968	4.845381767087193	4.621034227337083	3.9445118990932597	3.704096934182165	3.4427447114824052	3.4426402823196955	3.6165578877615134	3.3907486748744797	3.732018955471339	5.398018009668206	4.8173998147397805	4.911120511464045	5.037970650084792	5.329421833520339	4.253279480760272	3.145939803224184	2.7678286377153447	2.2421845640648193	1.7182586135673907	4.350586983912301	4.221408705450476	2.973570248669381	3.2515559873711397	1.7408423855473492	1.1629190147967998	1.535366020476229	2.9837683481534194	-2.6896544535305047	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9676036054351341	1.3153091814329527	0.7788373919358136	0.9137107371317749	1.1731347763124014	0.8514043077519245	0.3459486691849225	0.17853545879384847	0.2390689026211474	0.2364469694000816	3.393272016656014	0.06779027457496943	0.8125046862322188	0.28546249760418346	2.5869059702210966	0.1010616208689115	-45570.29699749449	-494.32454397587907	-455.8311209966686
90000	-46539.27981370291	-976.8886747985887	-45562.39113890432	28.089883682996323	1936.9101163170037	423.1307033075476	0.02173780934144703	7.8934380799426505	5.676737643314857	6.147806139188243	6.657576416142768	4.422821392507756	4.794357201119267	4.860642871225199	4.87068966919249	5.225531006211904	3.855992945148045	4.182466971938544	4.017271402228691	4.022195080361174	5.324859493880859	4.871989268672921	5.746279342262029	5.891854140132414	4.560058849995849	4.997710678342268	4.957563592403508	4.401866686013905	4.697100935427657	4.0205936309913	4.331474499851041	4.004651875326968	4.845381767087193	4.621034227337083	3.9445118990932597	3.704096934182165	3.4427447114824052	3.4426402823196955	3.6165578877615134	3.3907486748744797	3.732018955471339	5.398018009668206	4.8173998147397805	4.911120511464045	5.037970650084792	5.329421833520339	4.253279480760272	3.145939803224184	2.7678286377153447	2.2421845640648193	1.7182586135673907	4.350586983912301	4.221408705450476	2.973570248669381	3.2515559873711397	1.7408423855473492	1.1629190147967998	1.535366020476229	2.9837683481534194	-2.6896544535305047	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9389787121740849	1.3697497035847996	0.7545018430889426	0.8705528856676368	1.1816552844386898	0.8845615710458475	0.34205052231984945	0.17780787626775646	0.2407220530549089	0.2394195483574852	2.5343845804924485	0.05897470515243423	0.6399687839724726	0.24089124096755485	2.656876847854621	0.10636826907992153	-45562.39113890432	-494.32454397587907	-449.0194647403387
